,COMPANY,DATE,OPEN,CLOSE
90748,SBER,2011-08-29,79.3,81.7
90749,SBER,2011-08-30,82.01,82.15
90750,SBER,2011-08-31,82.9,84.93
90751,SBER,2011-09-01,84.7,85.09
90752,SBER,2011-09-02,83.82,82.4
90753,SBER,2011-09-05,81.44,80.2
90754,SBER,2011-09-06,79.48,80.45
90755,SBER,2011-09-07,81.71,83.67
90756,SBER,2011-09-08,84.04,85.57
90757,SBER,2011-09-09,84.81,83.2
90758,SBER,2011-09-12,81.4,79.63
90759,SBER,2011-09-13,80.95,80.41
90760,SBER,2011-09-14,79.47,80.04
90761,SBER,2011-09-15,81.01,80.9
90762,SBER,2011-09-16,81.77,81.49
90763,SBER,2011-09-19,80.89,80.07
90764,SBER,2011-09-20,80.05,81.8
90765,SBER,2011-09-21,81.55,81.72
90766,SBER,2011-09-22,79.83,73.8
90767,SBER,2011-09-23,72.99,69.99
90768,SBER,2011-09-26,68.94,69.4
90769,SBER,2011-09-27,71.58,72.72
90770,SBER,2011-09-28,71.7,71.0
90771,SBER,2011-09-29,70.35,74.7
90772,SBER,2011-09-30,74.32,70.44
90773,SBER,2011-10-03,68.36,68.2
90774,SBER,2011-10-04,67.12,62.65
90775,SBER,2011-10-05,64.98,62.79
90776,SBER,2011-10-06,63.86,65.8
90777,SBER,2011-10-07,66.78,68.22
90778,SBER,2011-10-10,68.78,70.6
90779,SBER,2011-10-11,70.66,70.1
90780,SBER,2011-10-12,69.75,74.11
90781,SBER,2011-10-13,73.72,75.0
90782,SBER,2011-10-14,75.65,80.72
90783,SBER,2011-10-17,81.61,79.1
90784,SBER,2011-10-18,78.55,78.19
90785,SBER,2011-10-19,79.11,80.74
90786,SBER,2011-10-20,79.17,80.84
90787,SBER,2011-10-21,81.5,81.9
90788,SBER,2011-10-24,83.2,84.29
90789,SBER,2011-10-25,84.3,82.09
90790,SBER,2011-10-26,81.54,83.55
90791,SBER,2011-10-27,85.24,85.46
90792,SBER,2011-10-28,86.46,85.4
90793,SBER,2011-10-31,84.48,81.88
90794,SBER,2011-11-01,80.73,77.2
90795,SBER,2011-11-02,77.71,78.92
90796,SBER,2011-11-03,77.57,80.9
90797,SBER,2011-11-07,81.08,82.53
90798,SBER,2011-11-08,82.48,84.22
90799,SBER,2011-11-09,85.0,78.7
90800,SBER,2011-11-10,77.5,80.4
90801,SBER,2011-11-11,81.9,80.8
90802,SBER,2011-11-14,81.9,80.12
90803,SBER,2011-11-15,79.92,80.6
90804,SBER,2011-11-16,79.62,79.75
90805,SBER,2011-11-17,79.7,80.45
90806,SBER,2011-11-18,78.95,80.03
90807,SBER,2011-11-21,79.02,75.85
90808,SBER,2011-11-22,76.36,76.18
90809,SBER,2011-11-23,75.0,76.76
90810,SBER,2011-11-24,76.7,75.71
90811,SBER,2011-11-25,75.31,78.6
90812,SBER,2011-11-28,80.0,82.92
90813,SBER,2011-11-29,83.51,82.58
90814,SBER,2011-11-30,82.1,87.55
90815,SBER,2011-12-01,88.64,87.7
90816,SBER,2011-12-02,88.15,89.5
90817,SBER,2011-12-05,89.56,89.92
90818,SBER,2011-12-06,89.05,85.9
90819,SBER,2011-12-07,86.88,85.25
90820,SBER,2011-12-08,85.54,86.0
90821,SBER,2011-12-09,84.12,82.26
90822,SBER,2011-12-12,83.51,79.96
90823,SBER,2011-12-13,79.85,82.72
90824,SBER,2011-12-14,81.9,81.3
90825,SBER,2011-12-15,79.9,82.27
90826,SBER,2011-12-16,82.71,80.62
90827,SBER,2011-12-19,80.15,81.8
90828,SBER,2011-12-20,81.49,82.71
90829,SBER,2011-12-21,83.43,80.22
90830,SBER,2011-12-22,81.29,79.99
90831,SBER,2011-12-23,80.61,80.0
90832,SBER,2011-12-26,80.49,81.42
90833,SBER,2011-12-27,81.35,80.0
90834,SBER,2011-12-28,79.91,79.28
90835,SBER,2011-12-29,79.0,78.8
90836,SBER,2011-12-30,79.03,79.4
90837,SBER,2012-01-03,80.12,82.41
90838,SBER,2012-01-04,82.44,83.52
90839,SBER,2012-01-05,83.5,82.55
90840,SBER,2012-01-06,82.51,83.2
90841,SBER,2012-01-09,82.59,83.88
90842,SBER,2012-01-10,84.36,86.81
90843,SBER,2012-01-11,86.29,84.85
90844,SBER,2012-01-12,85.2,84.3
90845,SBER,2012-01-13,84.67,83.6
90846,SBER,2012-01-16,83.0,83.95
90847,SBER,2012-01-17,84.81,84.66
90848,SBER,2012-01-18,84.7,84.7
90849,SBER,2012-01-19,85.45,85.7
90850,SBER,2012-01-20,85.97,85.13
90851,SBER,2012-01-23,84.95,85.02
90852,SBER,2012-01-24,84.85,85.04
90853,SBER,2012-01-25,85.56,87.05
90854,SBER,2012-01-26,88.01,90.4
90855,SBER,2012-01-27,89.67,90.8
90856,SBER,2012-01-30,90.14,88.92
90857,SBER,2012-01-31,89.75,90.17
90858,SBER,2012-02-01,89.74,92.75
90859,SBER,2012-02-02,93.11,92.62
90860,SBER,2012-02-03,92.51,94.52
90861,SBER,2012-02-06,94.78,93.8
90862,SBER,2012-02-07,94.0,93.46
90863,SBER,2012-02-08,94.24,95.17
90864,SBER,2012-02-09,95.08,95.28
90865,SBER,2012-02-10,94.57,93.94
90866,SBER,2012-02-13,94.63,96.19
90867,SBER,2012-02-14,95.78,96.36
90868,SBER,2012-02-15,97.33,97.2
90869,SBER,2012-02-16,96.0,96.24
90870,SBER,2012-02-17,97.27,96.76
90871,SBER,2012-02-20,97.61,97.5
90872,SBER,2012-02-21,97.75,96.68
90873,SBER,2012-02-22,96.85,96.09
90874,SBER,2012-02-24,96.8,99.02
90875,SBER,2012-02-27,98.58,99.72
90876,SBER,2012-02-28,100.17,98.64
90877,SBER,2012-02-29,99.12,100.19
90878,SBER,2012-03-01,99.48,100.25
