;Unnamed: 0;COMPANY;DATE;OPEN;CLOSE
1623;100554;TATN;2012-06-20;185.19;185.79
1624;100555;TATN;2012-06-21;184.13;182.89
1625;100556;TATN;2012-06-22;180.84;176.16
1626;100556;TATN;2012-06-23;180.84;176.16
1627;100556;TATN;2012-06-24;180.84;176.16
1628;100557;TATN;2012-06-25;176.16;170.7
1629;100558;TATN;2012-06-26;171.18;171.51
1630;100559;TATN;2012-06-27;172.93;178.39
1631;100560;TATN;2012-06-28;178.44;171.75
1632;100561;TATN;2012-06-29;173.75;180.2
1633;100561;TATN;2012-06-30;173.75;180.2
1634;100561;TATN;2012-07-01;173.75;180.2
1635;100562;TATN;2012-07-02;180.0;183.0
1636;100563;TATN;2012-07-03;183.93;188.7
1637;100564;TATN;2012-07-04;188.65;193.6
1638;100565;TATN;2012-07-05;193.01;198.67
1639;100566;TATN;2012-07-06;197.91;194.65
1640;100566;TATN;2012-07-07;197.91;194.65
1641;100566;TATN;2012-07-08;197.91;194.65
1642;100567;TATN;2012-07-09;194.75;192.71
1643;100568;TATN;2012-07-10;191.58;192.01
1644;100569;TATN;2012-07-11;191.1;186.83
1645;100570;TATN;2012-07-12;186.0;185.68
1646;100571;TATN;2012-07-13;186.9;190.15
1647;100571;TATN;2012-07-14;186.9;190.15
1648;100571;TATN;2012-07-15;186.9;190.15
1649;100572;TATN;2012-07-16;190.15;186.9
1650;100573;TATN;2012-07-17;188.01;190.3
1651;100574;TATN;2012-07-18;190.34;193.0
1652;100575;TATN;2012-07-19;194.38;197.21
1653;100576;TATN;2012-07-20;196.61;191.71
1654;100576;TATN;2012-07-21;196.61;191.71
1655;100576;TATN;2012-07-22;196.61;191.71
1656;100577;TATN;2012-07-23;189.9;184.17
1657;100578;TATN;2012-07-24;185.5;185.15
1658;100579;TATN;2012-07-25;183.5;186.77
1659;100580;TATN;2012-07-26;187.9;193.48
1660;100581;TATN;2012-07-27;194.2;200.05
1661;100581;TATN;2012-07-28;194.2;200.05
1662;100581;TATN;2012-07-29;194.2;200.05
1663;100582;TATN;2012-07-30;201.01;201.97
1664;100583;TATN;2012-07-31;201.97;197.4
1665;100584;TATN;2012-08-01;196.1;198.31
1666;100585;TATN;2012-08-02;198.17;196.22
1667;100586;TATN;2012-08-03;198.18;201.62
1668;100586;TATN;2012-08-04;198.18;201.62
1669;100586;TATN;2012-08-05;198.18;201.62
1670;100587;TATN;2012-08-06;201.6;203.6
1671;100588;TATN;2012-08-07;203.24;204.54
1672;100589;TATN;2012-08-08;204.0;202.52
1673;100590;TATN;2012-08-09;203.22;202.53
1674;100591;TATN;2012-08-10;201.12;200.9
1675;100591;TATN;2012-08-11;201.12;200.9
1676;100591;TATN;2012-08-12;201.12;200.9
1677;100592;TATN;2012-08-13;201.99;200.31
1678;100593;TATN;2012-08-14;200.3;204.26
1679;100594;TATN;2012-08-15;203.1;203.17
